itemid,description,itemparent
pregop,Presupuestos de gastos de operación,\0
pregop.editor,Presupuesto,pregop
GP10,Presupuesto de gastos de operación,pregop.editor
GP11,Consultar presupuesto,pregop.editor
GP12,Crear o Editar presupuesto,pregop.editor
GP13,Eliminar presupuesto,pregop.editor
GP14,Activar presupuesto,pregop.editor
GP15,Cerrar presupuesto,pregop.editor
GP16,Detener presupuesto,pregop.editor
GP17,Establecer partida revisada,pregop.editor
GP18,Cancelar partida,pregop.editor
GP19,Autorizar partida,pregop.editor
GP1A,Establecer partida prevista,pregop.editor
GP1B,Establecer partida en revisión,pregop.editor
pregop.ops,Operaciones presupuestadas,pregop
GP20,Operaciones por presupuestar y afectación por operación,pregop.ops
